geography_name,immigrant_status,Total,Owner,Renter,renter_owner_gap,csd_code,cma,join_key,tot_pop,tot_income,own_pop,own_income,rent_pop,rent_income,annual_housing_cost_total,annual_housing_cost_owner,annual_housing_cost_renter
Vaudreuil-Dorion (2471083) V 00000,Non-immigrants,17.2,15.4,23.2,7.8,2471083,Montréal,2471083|Non-immigrants,27715.0,119000.0,21415.0,130600.0,6300.0,79900.0,20468.0,20112.4,18536.8
Saint-Eustache (2472005) V 00000,Non-immigrants,16.0,14.1,21.9,7.8,2472005,Montréal,2472005|Non-immigrants,37540.0,112700.0,28380.0,127500.0,9160.0,67100.0,18032.0,17977.5,14694.9
Rosemère (2473020) V 00000,Total Immigrant Status,14.5,13.9,21.6,7.7,2473020,Montréal,2473020|Total Immigrant Status,13955.0,169000.0,12800.0,176800.0,1160.0,83400.0,24505.0,24575.2,18014.4
Repentigny (2460013) V 00000,Non-immigrants,15.7,14.3,22.0,7.7,2460013,Montréal,2460013|Non-immigrants,67410.0,124600.0,55175.0,136000.0,12235.0,73100.0,19562.2,19448.0,16082.0
Hampstead (2466062) V 00000,Total Immigrant Status,18.5,16.6,24.3,7.7,2466062,Montréal,2466062|Total Immigrant Status,6725.0,345200.0,5100.0,393200.0,1630.0,194800.0,63862.0,65271.20000000001,47336.4
Uxbridge (3518029) TP 00000,Non-immigrants,18.4,17.5,25.2,7.7,3518029,Toronto,3518029|Non-immigrants,17005.0,184000.0,14990.0,195800.0,2020.0,95600.0,33855.99999999999,34265.0,24091.2
Georgina (3519070) T 00000,Non-immigrants,19.9,18.6,26.3,7.7,3519070,Toronto,3519070|Non-immigrants,36765.0,134200.0,30515.0,142800.0,6250.0,92500.0,26705.8,26560.8,24327.5
Dorval (2466087) V 00000,Total Immigrant Status,17.7,15.2,22.8,7.6,2466087,Montréal,2466087|Total Immigrant Status,18760.0,144800.0,12715.0,178800.0,6040.0,73500.0,25629.6,27177.6,16758.0
Sainte-Catherine (2467030) V 00000,Total Immigrant Status,16.7,15.2,22.8,7.6,2467030,Montréal,2467030|Total Immigrant Status,16510.0,118600.0,13300.0,129200.0,3205.0,74400.0,19806.2,19638.4,16963.2
Markham (3519036) CY 00000,Total Immigrant Status,23.8,22.7,30.3,7.6,3519036,Toronto,3519036|Total Immigrant Status,323895.0,154200.0,273980.0,163000.0,49920.0,105900.0,36699.6,37001.0,32087.7
North Vancouver (5915046) DM 00000,Total Immigrant Status,21.5,19.9,27.5,7.6,5915046,Vancouver,5915046|Total Immigrant Status,84165.0,209800.0,67020.0,229800.0,17140.0,132400.0,45107.0,45730.2,36410.0
Blainville (2473015) V 00000,Non-immigrants,15.2,13.8,21.4,7.6,2473015,Montréal,2473015|Non-immigrants,48875.0,159200.0,40240.0,174400.0,8635.0,87700.0,24198.4,24067.2,18767.8
Saint-Basile-le-Grand (2457020) V 00000,Non-immigrants,14.8,14.1,21.6,7.5,2457020,Montréal,2457020|Non-immigrants,15135.0,147800.0,13780.0,154600.0,1350.0,78300.0,21874.4,21798.6,16912.8
Pointe-Claire (2466097) V 00000,Immigrant,19.0,17.1,24.6,7.5,2466097,Montréal,2466097|Immigrant,11240.0,143600.0,8355.0,139000.0,2885.0,157000.0,27284.0,23769.0,38622.0
Baie-D'Urfé (2466112) V 00000,Total Immigrant Status,14.8,14.5,22.0,7.5,2466112,Montréal,2466112|Total Immigrant Status,3615.0,223400.0,3460.0,225800.0,150.0,168000.0,33063.2,32741.0,36960.0
Saint-Jérôme (2475017) V 00000,Non-immigrants,18.6,15.5,23.0,7.5,2475017,Montréal,2475017|Non-immigrants,70830.0,95400.0,41640.0,117500.0,29190.0,63850.0,17744.4,18212.5,14685.5
Beaumont (4811013) CY 00000,Total Immigrant Status,20.1,19.3,26.8,7.5,4811013,Edmonton,4811013|Total Immigrant Status,20560.0,160600.0,18350.0,167800.0,2215.0,102300.0,32280.6,32385.4,27416.4
Leduc (4811016) CY 00000,Non-immigrants,20.6,18.8,26.3,7.5,4811016,Edmonton,4811016|Non-immigrants,28215.0,136200.0,21655.0,149200.0,6555.0,93500.0,28057.2,28049.6,24590.5
Beloeil (2457040) V 00000,Total Immigrant Status,16.7,15.2,22.6,7.4,2457040,Montréal,2457040|Total Immigrant Status,23635.0,125300.0,18710.0,137800.0,4925.0,77900.0,20925.1,20945.6,17605.4
Mont-Royal (2466072) V 00000,Total Immigrant Status,17.8,15.7,23.1,7.4,2466072,Montréal,2466072|Total Immigrant Status,19960.0,266800.0,14350.0,328800.0,5615.0,108300.0,47490.4,51621.6,25017.3
Richmond Hill (3519038) T 00000,Immigrant,27.1,25.7,33.1,7.4,3519038,Toronto,3519038|Immigrant,146335.0,153400.0,118815.0,166000.0,27520.0,98800.0,41571.4,42662.0,32702.8
Surrey (5915004) CY 00000,Non-immigrants,19.7,17.7,25.1,7.4,5915004,Vancouver,5915004|Non-immigrants,183435.0,145800.0,133880.0,162200.0,49550.0,101000.0,28722.6,28709.4,25351.0
Saint-Basile-le-Grand (2457020) V 00000,Total Immigrant Status,15.1,14.4,21.8,7.4,2457020,Montréal,2457020|Total Immigrant Status,16870.0,146000.0,15320.0,153000.0,1555.0,78600.0,22046.0,22032.0,17134.8
Candiac (2467020) V 00000,Immigrant,21.1,20.3,27.7,7.4,2467020,Montréal,2467020|Immigrant,5170.0,145600.0,4585.0,153400.0,580.0,84000.0,30721.6,31140.2,23268.0
Delson (2467025) V 00000,Non-immigrants,15.5,13.7,21.0,7.3,2467025,Montréal,2467025|Non-immigrants,7035.0,115400.0,5235.0,128200.0,1800.0,78400.0,17887.0,17563.4,16464.0
Saint-Constant (2467035) V 00000,Non-immigrants,15.2,13.8,21.1,7.3,2467035,Montréal,2467035|Non-immigrants,23535.0,129200.0,19195.0,140600.0,4345.0,78000.0,19638.4,19402.8,16458.0
North Vancouver (5915051) CY 00000,Total Immigrant Status,24.4,21.3,28.6,7.3,5915051,Vancouver,5915051|Total Immigrant Status,55065.0,142000.0,31715.0,171000.0,23350.0,102600.0,34648.0,36423.0,29343.6
West Vancouver (5915055) DM 00000,Immigrant,30.7,28.5,35.7,7.2,5915055,Vancouver,5915055|Immigrant,20570.0,245000.0,14485.0,278800.0,6080.0,164400.0,75215.0,79458.0,58690.80000000001
Whitchurch-Stouffville (3519044) T 00000,Non-immigrants,19.4,18.6,25.8,7.2,3519044,Toronto,3519044|Non-immigrants,24680.0,182600.0,21730.0,191200.0,2950.0,119400.0,35424.399999999994,35563.200000000004,30805.2
Milton (3524009) T 00000,Total Immigrant Status,23.1,22.0,29.2,7.2,3524009,Toronto,3524009|Total Immigrant Status,128990.0,159000.0,109715.0,166600.0,19275.0,115500.0,36729.0,36652.0,33726.0
New Tecumseth (3543007) T 00000,Non-immigrants,20.1,19.0,26.2,7.2,3543007,Toronto,3543007|Non-immigrants,30615.0,134000.0,25720.0,141600.0,4895.0,93400.0,26934.0,26904.0,24470.8
Richelieu (2455057) V 00000,Non-immigrants,17.3,15.0,22.1,7.1,2455057,Montréal,2455057|Non-immigrants,5075.0,116700.0,3470.0,135400.0,1610.0,76600.0,20189.1,20310.0,16928.6
Maple Ridge (5915075) CY 00000,Non-immigrants,20.3,19.0,26.1,7.1,5915075,Vancouver,5915075|Non-immigrants,62175.0,145200.0,50520.0,156400.0,11655.0,96600.0,29475.6,29716.0,25212.6
Richelieu (2455057) V 00000,Total Immigrant Status,17.3,15.1,22.2,7.1,2455057,Montréal,2455057|Total Immigrant Status,5335.0,118000.0,3640.0,137400.0,1690.0,76400.0,20414.0,20747.4,16960.8
Bowen Island (5915062) IM 00000,Non-immigrants,20.6,19.8,26.9,7.1,5915062,Vancouver,5915062|Non-immigrants,2975.0,196400.0,2650.0,209200.0,320.0,91600.0,40458.4,41421.6,24640.4
Dollard-Des Ormeaux (2466142) V 00000,Total Immigrant Status,17.4,16.0,23.0,7.0,2466142,Montréal,2466142|Total Immigrant Status,47270.0,144800.0,37500.0,160000.0,9770.0,86300.0,25195.2,25600.0,19849.0
La Prairie (2467015) V 00000,Total Immigrant Status,16.7,15.2,22.2,7.0,2467015,Montréal,2467015|Total Immigrant Status,25950.0,139400.0,20650.0,156200.0,5300.0,74100.0,23279.8,23742.4,16450.2
Uxbridge (3518029) TP 00000,Total Immigrant Status,19.0,18.2,25.2,7.0,3518029,Toronto,3518029|Total Immigrant Status,20500.0,178800.0,18190.0,189600.0,2305.0,93600.0,33972.0,34507.2,23587.2
New Westminster (5915029) CY 00000,Non-immigrants,21.9,19.2,26.2,7.0,5915029,Vancouver,5915029|Non-immigrants,38185.0,129400.0,23475.0,156200.0,14715.0,86700.0,28338.6,29990.4,22715.4
Port Coquitlam (5915039) CY 00000,Total Immigrant Status,20.1,18.7,25.7,7.0,5915039,Vancouver,5915039|Total Immigrant Status,59215.0,138800.0,47495.0,149200.0,11715.0,96600.0,27898.8,27900.4,24826.2
"Montréal (CMA), Que. 20000",Non-immigrants,17.2,14.9,21.9,7.0,,Montréal,"Montréal , Que. 20000|Non-immigrants",2644045.0,129200.0,1769440.0,155800.0,874610.0,75300.0,22222.4,23214.2,16490.7
Lavaltrie (2452007) V 00000,Non-immigrants,16.4,15.1,22.0,6.9,2452007,Montréal,2452007|Non-immigrants,13555.0,108200.0,10870.0,117300.0,2680.0,71300.0,17744.8,17712.3,15686.0
Saint-Jérôme (2475017) V 00000,Total Immigrant Status,18.7,15.9,22.8,6.9,2475017,Montréal,2475017|Total Immigrant Status,77220.0,96100.0,45830.0,117400.0,31395.0,65000.0,17970.7,18666.6,14820.0
Châteauguay (2467050) V 00000,Non-immigrants,17.7,16.0,22.9,6.9,2467050,Montréal,2467050|Non-immigrants,34475.0,109900.0,25825.0,122900.0,8645.0,70900.0,19452.3,19664.0,16236.1
East Gwillimbury (3519054) T 00000,Total Immigrant Status,22.8,21.8,28.7,6.9,3519054,Toronto,3519054|Total Immigrant Status,33195.0,158000.0,28310.0,164800.0,4890.0,118200.0,36024.0,35926.4,33923.4
Lavaltrie (2452007) V 00000,Total Immigrant Status,16.5,15.2,22.0,6.8,2452007,Montréal,2452007|Total Immigrant Status,14225.0,107900.0,11475.0,116700.0,2745.0,71100.0,17803.5,17738.4,15642.0
Otterburn Park (2457030) V 00000,Non-immigrants,15.2,14.5,21.3,6.8,2457030,Montréal,2457030|Non-immigrants,7850.0,137600.0,7050.0,143600.0,800.0,85600.0,20915.2,20822.0,18232.8
Markham (3519036) CY 00000,Immigrant,24.9,23.9,30.7,6.8,3519036,Toronto,3519036|Immigrant,264705.0,146200.0,225390.0,153400.0,39315.0,104200.0,36403.8,36662.6,31989.4
"Edmonton (CMA), Alta. 00000",Total Immigrant Status,20.4,18.5,25.3,6.8,,Edmonton,"Edmonton , Alta. 00000|Total Immigrant Status",1367905.0,138400.0,1004550.0,156600.0,363355.0,88300.0,28233.6,28971.0,22339.9
Delson (2467025) V 00000,Total Immigrant Status,16.0,14.4,21.2,6.8,2467025,Montréal,2467025|Total Immigrant Status,8250.0,115500.0,6330.0,126800.0,1920.0,78100.0,18480.0,18259.2,16557.2
Canada 20000,Total Immigrant Status,19.2,17.3,24.0,6.7,,Canada,Canada 20000|Total Immigrant Status,34973090.0,131000.0,25209770.0,148800.0,9763320.0,84900.0,25152.0,25742.4,20376.0
Longueuil (2458227) V 00000,Non-immigrants,17.2,14.5,21.2,6.7,2458227,Montréal,2458227|Non-immigrants,171735.0,108600.0,103070.0,134400.0,68660.0,69900.0,18679.2,19488.0,14818.8
Varennes (2459020) V 00000,Non-immigrants,13.7,12.7,19.4,6.7,2459020,Montréal,2459020|Non-immigrants,19630.0,142200.0,16635.0,153800.0,3000.0,77800.0,19481.4,19532.6,15093.2
Saint-Eustache (2472005) V 00000,Total Immigrant Status,16.4,14.8,21.5,6.7,2472005,Montréal,2472005|Total Immigrant Status,43795.0,113000.0,33650.0,126200.0,10145.0,69300.0,18531.999999999996,18677.6,14899.5
Saint-Placide (2472043) MÉ 00000,Total Immigrant Status,17.9,16.5,23.2,6.7,2472043,Montréal,2472043|Total Immigrant Status,1575.0,110900.0,1245.0,117600.0,330.0,86000.0,19851.1,19404.0,19952.0
Saint-Placide (2472043) MÉ 00000,Non-immigrants,17.9,16.5,23.2,6.7,2472043,Montréal,2472043|Non-immigrants,1460.0,108800.0,1145.0,115600.0,315.0,84000.0,19475.199999999997,19074.0,19488.0
Boisbriand (2473005) V 00000,Total Immigrant Status,17.1,15.3,22.0,6.7,2473005,Montréal,2473005|Total Immigrant Status,28060.0,124900.0,20220.0,142400.0,7835.0,79900.0,21357.9,21787.2,17578.0
Georgina (3519070) T 00000,Total Immigrant Status,21.1,20.0,26.7,6.7,3519070,Toronto,3519070|Total Immigrant Status,46110.0,133800.0,38805.0,141800.0,7305.0,90600.0,28231.8,28360.0,24190.2
Coquitlam (5915034) CY 00000,Total Immigrant Status,22.5,20.7,27.4,6.7,5915034,Vancouver,5915034|Total Immigrant Status,141395.0,140800.0,104235.0,155800.0,37160.0,98500.0,31680.0,32250.6,26989.0
L'Île-Perrot (2471060) V 00000,Non-immigrants,17.6,15.5,22.1,6.6,2471060,Montréal,2471060|Non-immigrants,8405.0,106700.0,5740.0,124100.0,2660.0,69200.0,18779.2,19235.5,15293.2
Sainte-Marthe-sur-le-Lac (2472015) V 00000,Immigrant,19.8,19.5,26.1,6.6,2472015,Montréal,2472015|Immigrant,3720.0,129000.0,3530.0,131600.0,190.0,82000.0,25542.0,25662.0,21402.0
Sainte-Thérèse (2473010) V 00000,Non-immigrants,18.6,15.5,22.1,6.6,2473010,Montréal,2473010|Non-immigrants,22035.0,103100.0,11800.0,133600.0,10235.0,67900.0,19176.600000000002,20708.0,15005.9
Gore (2476025) CT 01010,Total Immigrant Status,14.5,13.7,20.3,6.6,2476025,Montréal,2476025|Total Immigrant Status,2255.0,102300.0,1975.0,105200.0,280.0,82000.0,14833.5,14412.4,16646.0
Fort Saskatchewan (4811056) CY 00000,Immigrant,19.7,18.4,25.0,6.6,4811056,Edmonton,4811056|Immigrant,3085.0,131200.0,2450.0,142200.0,635.0,88800.0,25846.4,26164.8,22200.0
Mercier (2467045) V 00000,Non-immigrants,15.3,14.3,20.9,6.6,2467045,Montréal,2467045|Non-immigrants,12025.0,132800.0,10220.0,142600.0,1810.0,77700.0,20318.4,20391.8,16239.3
Mont-Saint-Hilaire (2457035) V 00000,Non-immigrants,14.9,14.0,20.5,6.5,2457035,Montréal,2457035|Non-immigrants,16925.0,170200.0,14625.0,183800.0,2300.0,82900.0,25359.8,25732.0,16994.5
Notre-Dame-de-l'Île-Perrot (2471065) V 00000,Immigrant,19.3,19.1,25.6,6.5,2471065,Montréal,2471065|Immigrant,2550.0,134600.0,2480.0,136400.0,70.0,74000.0,25977.8,26052.4,18944.0
Sainte-Anne-des-Plaines (2473035) V 00000,Immigrant,20.3,19.3,25.8,6.5,2473035,Montréal,2473035|Immigrant,705.0,105200.0,595.0,110000.0,110.0,79000.0,21355.6,21230.0,20382.0
Mississauga (3521005) CY 00000,Total Immigrant Status,22.1,20.4,26.9,6.5,3521005,Toronto,3521005|Total Immigrant Status,694110.0,151000.0,513330.0,169000.0,180780.0,100000.0,33371.0,34475.99999999999,26900.0
Repentigny (2460013) V 00000,Total Immigrant Status,16.4,15.4,21.9,6.5,2460013,Montréal,2460013|Total Immigrant Status,84445.0,125600.0,70540.0,135400.0,13900.0,75400.0,20598.399999999998,20851.6,16512.6
Terrebonne (2464008) V 00000,Non-immigrants,16.1,14.9,21.4,6.5,2464008,Montréal,2464008|Non-immigrants,94475.0,128400.0,76585.0,140400.0,17895.0,77300.0,20672.4,20919.6,16542.2
Brossard (2458007) V 00000,Total Immigrant Status,18.3,16.6,23.0,6.4,2458007,Montréal,2458007|Total Immigrant Status,87410.0,126200.0,64250.0,140800.0,23155.0,85900.0,23094.6,23372.8,19757.0
Deux-Montagnes (2472010) V 00000,Total Immigrant Status,16.5,15.0,21.4,6.4,2472010,Montréal,2472010|Total Immigrant Status,17515.0,120400.0,13365.0,134400.0,4150.0,75500.0,19866.0,20160.0,16157.0
Caledon (3521024) T 00000,Total Immigrant Status,20.7,20.1,26.5,6.4,3521024,Toronto,3521024|Total Immigrant Status,74410.0,175200.0,68225.0,180200.0,6185.0,120500.0,36266.4,36220.200000000004,31932.5
Pitt Meadows (5915070) CY 00000,Total Immigrant Status,20.0,18.8,25.2,6.4,5915070,Vancouver,5915070|Total Immigrant Status,18520.0,141800.0,15220.0,152200.0,3305.0,94000.0,28360.0,28613.6,23688.0
Otterburn Park (2457030) V 00000,Total Immigrant Status,15.5,14.8,21.1,6.3,2457030,Montréal,2457030|Total Immigrant Status,8425.0,136400.0,7585.0,142000.0,840.0,84800.0,21142.0,21016.0,17892.800000000003
Varennes (2459020) V 00000,Total Immigrant Status,13.9,13.0,19.3,6.3,2459020,Montréal,2459020|Total Immigrant Status,20675.0,140800.0,17500.0,152200.0,3170.0,78000.0,19571.2,19786.0,15054.0
Deux-Montagnes (2472010) V 00000,Non-immigrants,16.3,14.7,21.0,6.3,2472010,Montréal,2472010|Non-immigrants,14305.0,121300.0,10585.0,137600.0,3725.0,75000.0,19771.9,20227.2,15750.0
Vancouver (5915022) CY 00000,Total Immigrant Status,23.2,20.2,26.5,6.3,5915022,Vancouver,5915022|Total Immigrant Status,615670.0,150200.0,323825.0,186800.0,291845.0,109500.0,34846.4,37733.6,29017.5
Blainville (2473015) V 00000,Total Immigrant Status,15.9,14.9,21.2,6.3,2473015,Montréal,2473015|Total Immigrant Status,58615.0,155800.0,49050.0,169000.0,9570.0,89100.0,24772.2,25181.0,18889.2
Pickering (3518001) CY 00000,Total Immigrant Status,21.2,20.4,26.6,6.2,3518001,Toronto,3518001|Total Immigrant Status,97075.0,162600.0,84715.0,171000.0,12355.0,104500.0,34471.2,34883.99999999999,27797.0
Mont-Saint-Hilaire (2457035) V 00000,Total Immigrant Status,15.1,14.3,20.5,6.2,2457035,Montréal,2457035|Total Immigrant Status,18190.0,167400.0,15675.0,180800.0,2510.0,83300.0,25277.4,25854.4,17076.5
Bois-des-Filion (2473030) V 00000,Non-immigrants,17.1,15.8,22.0,6.2,2473030,Montréal,2473030|Non-immigrants,7875.0,114200.0,6220.0,124800.0,1650.0,74100.0,19528.2,19718.4,16302.0
Strathcona County (4811052) SM 00000,Immigrant,18.0,17.1,23.3,6.2,4811052,Edmonton,4811052|Immigrant,12655.0,171600.0,10865.0,181600.0,1790.0,110200.0,30888.0,31053.600000000006,25676.6
Edmonton (4811061) CY 00000,Total Immigrant Status,21.0,19.1,25.3,6.2,4811061,Edmonton,4811061|Total Immigrant Status,979875.0,132200.0,675070.0,152600.0,304800.0,86700.0,27762.0,29146.6,21935.1
Redwater (4811065) T 00020,Total Immigrant Status,18.5,16.6,22.8,6.2,4811065,Edmonton,4811065|Total Immigrant Status,2030.0,125500.0,1400.0,139600.0,630.0,94400.0,23217.5,23173.6,21523.2
Langley (5915001) DM 00000,Non-immigrants,19.3,18.3,24.5,6.2,5915001,Vancouver,5915001|Non-immigrants,87405.0,160000.0,73580.0,169400.0,13825.0,109300.0,30880.0,31000.2,26778.5
Port Moody (5915043) CY 00000,Non-immigrants,18.4,17.1,23.3,6.2,5915043,Vancouver,5915043|Non-immigrants,19310.0,182400.0,15090.0,193400.0,4220.0,142400.0,33561.6,33071.4,33179.2
Saint-Jean-sur-Richelieu (2456083) V 00000,Non-immigrants,16.4,14.5,20.6,6.1,2456083,Montréal,2456083|Non-immigrants,89515.0,112200.0,61420.0,132200.0,28095.0,68600.0,18400.8,19169.0,14131.6
Côte-Saint-Luc (2466058) V 00000,Total Immigrant Status,22.6,19.7,25.8,6.1,2466058,Montréal,2466058|Total Immigrant Status,32835.0,139000.0,17510.0,192800.0,15325.0,77600.0,31414.0,37981.6,20020.8
Delson (2467025) V 00000,Immigrant,18.5,17.9,24.0,6.1,2467025,Montréal,2467025|Immigrant,1210.0,115800.0,1095.0,120400.0,120.0,73000.0,21423.0,21551.6,17520.0
L'Île-Perrot (2471060) V 00000,Total Immigrant Status,18.1,16.4,22.5,6.1,2471060,Montréal,2471060|Total Immigrant Status,11095.0,109400.0,7985.0,124900.0,3110.0,69500.0,19801.4,20483.6,15637.5
Newmarket (3519048) T 00000,Total Immigrant Status,22.4,21.2,27.3,6.1,3519048,Toronto,3519048|Total Immigrant Status,84735.0,154600.0,67930.0,168000.0,16805.0,100600.0,34630.4,35616.0,27463.8
Leduc (4811016) CY 00000,Total Immigrant Status,20.7,19.2,25.3,6.1,4811016,Edmonton,4811016|Total Immigrant Status,33260.0,133600.0,25230.0,146200.0,8035.0,94100.0,27655.2,28070.4,23807.3
Mirabel (2474005) V 00000,Non-immigrants,16.3,14.6,20.7,6.1,2474005,Montréal,2474005|Non-immigrants,55355.0,121400.0,40045.0,137400.0,15305.0,80000.0,19788.2,20060.4,16560.0
Gore (2476025) CT 01010,Non-immigrants,14.7,13.9,20.0,6.1,2476025,Montréal,2476025|Non-immigrants,2040.0,103100.0,1775.0,106000.0,265.0,84000.0,15155.7,14734.0,16800.0
Dollard-Des Ormeaux (2466142) V 00000,Immigrant,18.5,17.1,23.2,6.1,2466142,Montréal,2466142|Immigrant,27425.0,128200.0,21010.0,141400.0,6410.0,85100.0,23717.0,24179.4,19743.2
Saint-Constant (2467035) V 00000,Total Immigrant Status,16.1,15.1,21.1,6.0,2467035,Montréal,2467035|Total Immigrant Status,29595.0,128400.0,24760.0,138000.0,4830.0,79100.0,20672.4,20838.0,16690.1
Oka (2472032) MÉ 00000,Non-immigrants,15.5,14.6,20.6,6.0,2472032,Montréal,2472032|Non-immigrants,3690.0,133600.0,3140.0,144600.0,540.0,70000.0,20708.0,21111.6,14420.0
Lavaltrie (2452007) V 00000,Immigrant,18.1,17.6,23.6,6.0,2452007,Montréal,2452007|Immigrant,665.0,103200.0,610.0,107200.0,60.0,62000.0,18679.2,18867.2,14632.0
Montréal-Ouest (2466047) V 00000,Non-immigrants,16.6,15.5,21.5,6.0,2466047,Montréal,2466047|Non-immigrants,3165.0,255400.0,2605.0,291200.0,565.0,89200.0,42396.4,45136.0,19178.0
L'Île-Perrot (2471060) V 00000,Immigrant,19.6,18.6,24.6,6.0,2471060,Montréal,2471060|Immigrant,2695.0,117600.0,2245.0,126900.0,450.0,71200.0,23049.6,23603.4,17515.2
North Vancouver (5915051) CY 00000,Immigrant,26.3,23.5,29.5,6.0,5915051,Vancouver,5915051|Immigrant,26185.0,124500.0,14020.0,146200.0,12160.0,99500.0,32743.5,34357.0,29352.5
Sainte-Thérèse (2473010) V 00000,Total Immigrant Status,18.7,15.9,21.9,6.0,2473010,Montréal,2473010|Total Immigrant Status,24660.0,102200.0,13385.0,131000.0,11280.0,68100.0,19111.4,20829.0,14913.9
Maple Ridge (5915075) CY 00000,Total Immigrant Status,21.2,20.2,26.1,5.9,5915075,Vancouver,5915075|Total Immigrant Status,88150.0,144200.0,73385.0,153600.0,14765.0,97500.0,30570.4,31027.2,25447.5
Sainte-Anne-des-Plaines (2473035) V 00000,Non-immigrants,16.4,14.9,20.8,5.9,2473035,Montréal,2473035|Non-immigrants,13665.0,107200.0,10205.0,119600.0,3460.0,70600.0,17580.8,17820.4,14684.8
Saint-Philippe (2467010) V 00000,Non-immigrants,15.8,15.0,20.9,5.9,2467010,Montréal,2467010|Non-immigrants,6470.0,132000.0,5630.0,139000.0,835.0,84800.0,20856.0,20850.0,17723.199999999997
Toronto (3520005) C 00000,Total Immigrant Status,23.0,20.5,26.4,5.9,3520005,Toronto,3520005|Total Immigrant Status,2663675.0,152400.0,1529530.0,193800.0,1134145.0,96900.0,35052.0,39729.0,25581.6
New Tecumseth (3543007) T 00000,Total Immigrant Status,21.3,20.5,26.4,5.9,3543007,Toronto,3543007|Total Immigrant Status,42730.0,132200.0,36740.0,138400.0,5985.0,94500.0,28158.6,28372.0,24948.0
Redwater (4811065) T 00020,Non-immigrants,18.4,16.6,22.5,5.9,4811065,Edmonton,4811065|Non-immigrants,1950.0,127100.0,1345.0,141600.0,605.0,94800.0,23386.4,23505.6,21330.0
Langley (5915002) CY 00000,Non-immigrants,21.7,19.8,25.7,5.9,5915002,Vancouver,5915002|Non-immigrants,19435.0,113200.0,13250.0,129600.0,6190.0,78100.0,24564.4,25660.8,20071.7
Saint-Jean-sur-Richelieu (2456083) V 00000,Total Immigrant Status,16.5,14.7,20.5,5.8,2456083,Montréal,2456083|Total Immigrant Status,94960.0,112300.0,65120.0,132000.0,29840.0,69300.0,18529.5,19404.0,14206.5
Sainte-Anne-des-Plaines (2473035) V 00000,Total Immigrant Status,16.6,15.2,21.0,5.8,2473035,Montréal,2473035|Total Immigrant Status,14365.0,107100.0,10800.0,119100.0,3575.0,70900.0,17778.600000000002,18103.2,14889.0
Saint-Basile-le-Grand (2457020) V 00000,Immigrant,17.7,17.1,22.9,5.8,2457020,Montréal,2457020|Immigrant,1735.0,131800.0,1535.0,138400.0,200.0,81000.0,23328.6,23666.4,18549.0
Châteauguay (2467050) V 00000,Total Immigrant Status,18.3,17.1,22.9,5.8,2467050,Montréal,2467050|Total Immigrant Status,49640.0,110600.0,39245.0,121100.0,10400.0,71200.0,20239.8,20708.100000000002,16304.8
Milton (3524009) T 00000,Immigrant,25.5,24.6,30.4,5.8,3524009,Toronto,3524009|Immigrant,76365.0,151000.0,65135.0,157000.0,11235.0,116300.0,38505.0,38622.0,35355.2
Delta (5915011) CY 00000,Total Immigrant Status,19.9,18.6,24.4,5.8,5915011,Vancouver,5915011|Total Immigrant Status,104965.0,152800.0,82305.0,164000.0,22660.0,112100.0,30407.2,30504.000000000004,27352.4
Mirabel (2474005) V 00000,Total Immigrant Status,16.6,15.1,20.8,5.7,2474005,Montréal,2474005|Total Immigrant Status,59970.0,120700.0,43655.0,135800.0,16315.0,80100.0,20036.2,20505.8,16660.8
Vaudreuil-Dorion (2471083) V 00000,Total Immigrant Status,18.4,17.3,23.0,5.7,2471083,Montréal,2471083|Total Immigrant Status,41710.0,119600.0,33585.0,128600.0,8125.0,82300.0,22006.4,22247.8,18929.0
Oka (2472032) MÉ 00000,Total Immigrant Status,15.6,14.8,20.5,5.7,2472032,Montréal,2472032|Total Immigrant Status,3785.0,133000.0,3235.0,143800.0,550.0,69600.0,20748.0,21282.4,14268.0
"Toronto (CMA), Ont. 00000",Total Immigrant Status,22.8,21.2,26.9,5.7,,Toronto,"Toronto , Ont. 00000|Total Immigrant Status",5955865.0,157000.0,4237775.0,180200.0,1718085.0,99800.0,35796.0,38202.4,26846.2
Langley (5915001) DM 00000,Total Immigrant Status,20.6,19.7,25.4,5.7,5915001,Vancouver,5915001|Total Immigrant Status,126220.0,155400.0,106520.0,163400.0,19705.0,112600.0,32012.4,32189.8,28600.4
Richmond (5915015) CY 00000,Total Immigrant Status,23.5,22.0,27.7,5.7,5915015,Vancouver,5915015|Total Immigrant Status,194585.0,130200.0,144150.0,140200.0,50435.0,101600.0,30597.0,30844.0,28143.2
Metro Vancouver A (5915020) RDA 00000,Total Immigrant Status,30.2,27.2,32.9,5.7,5915020,Vancouver,5915020|Total Immigrant Status,13285.0,145600.0,6175.0,176800.0,7110.0,118600.0,43971.2,48089.6,39019.4
Bradford West Gwillimbury (3543014) T 00000,Non-immigrants,20.4,19.5,25.1,5.6,3543014,Toronto,3543014|Non-immigrants,21335.0,150600.0,17685.0,159800.0,3650.0,105700.0,30722.4,31161.0,26530.7
Parkland County (4811034) MD 00000,Non-immigrants,17.2,16.8,22.4,5.6,4811034,Edmonton,4811034|Non-immigrants,27390.0,165000.0,25390.0,170000.0,2000.0,101700.0,28380.0,28560.0,22780.8
